Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts,Unnamed: 44,Unnamed: 45,Unnamed: 46,Domain.1
sports science,28,College,Medium,4.0,Easy,Good,Female,Australia,Sports Physiology, Sports Physiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
journalism,22,College,High,4.7,Medium,Good,Male,UK,Science and Health Journalism, Science and Health Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
information systems,18,High School,Low,5.0,Easy,Good,Female,India,Mobile Application Development, Mobile Application Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
agriculture,25,High School,High,3.9,Medium,Fair,Male,US,Agricultural Biotechnology, Agricultural Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
writing,26,College,Medium,3.7,Medium,Good,Male,India,Playwriting, Playwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
education,26,College,Medium,4.5,Medium,Fair,Female,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
international business,28,College,Medium,4.9,Easy,Fair,Female,Australia,International Risk Management, International Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
finance,24,High School,Medium,5.0,Easy,Good,Male,India,International Finance, International Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
sports science,21,College,High,3.9,Medium,Fair,Male,India,Sports Ethics and Sportsmanship, Sports Ethics and Sportsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
geology,26,College,Low,4.0,Easy,Good,Male,Australia,Stratigraphy, Stratigraphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
logistics and supply chain management,24,High School,Medium,3.8,Easy,Good,Male,US,Reverse Logistics and Product Returns, Reverse Logistics and Product Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
early childhood education,28,College,Medium,4.9,Easy,Good,Male,UK,Social Studies and Cultural Awareness, Social Studies and Cultural Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
anthropology,29,College,High,4.9,Medium,Good,Female,UK,Psychological Anthropology, Psychological Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
environmental science,22,College,Low,4.9,Medium,Fair,Male,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
public administration,29,College,Low,3.7,Medium,Fair,Male,US,Public Service Delivery and Citizen Engagement, Public Service Delivery and Citizen Engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
business analytics,26,College,High,4.6,Medium,Good,Male,UK,Supply Chain Analytics, Supply Chain Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
humanities,28,High School,High,4.2,Medium,Good,Male,India,Cultural Studies, Cultural Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
food science,25,College,Low,3.6,Medium,Good,Male,Canada,Food Supply Chain and Distribution, Food Supply Chain and Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
business analytics,26,College,Low,3.6,Medium,Good,Female,Australia,Machine Learning in Business Analytics, Machine Learning in Business Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
food science,18,College,High,3.9,Medium,Good,Male,UK,Food Product Development, Food Product Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
sports science,23,College,Low,5.0,Easy,Fair,Female,UK,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
food science,26,College,Low,4.2,Medium,Good,Female,US,Food Analysis and Testing, Food Analysis and Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
early childhood education,23,High School,Medium,3.8,Medium,Good,Female,US,Sensory Play, Sensory Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
visual arts,21,High School,Low,3.7,Easy,Fair,Male,India,Graphic Design, Graphic Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
food science,29,High School,Low,3.8,Medium,Good,Male,US,Food Sensory Science, Food Sensory Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
early childhood education,18,College,High,5.0,Medium,Fair,Female,UK,Multicultural Education and Diversity Awareness, Multicultural Education and Diversity Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
media and communication studies,26,High School,Low,3.8,Easy,Fair,Female,Canada,Media Psychology, Media Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
agriculture,21,High School,High,4.3,Medium,Good,Female,US,Crop Production and Management, Crop Production and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
media and communication studies,24,College,Low,3.7,Easy,Fair,Male,Canada,Journalism, Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
agriculture,24,College,Medium,3.5,Easy,Fair,Female,India,Agronomy, Agronomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
hospitality management,23,High School,Low,4.6,Medium,Good,Female,UK,Cultural Diversity and Inclusion in Hospitality, Cultural Diversity and Inclusion in Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
journalism,21,High School,High,4.6,Easy,Good,Female,Canada,News Reporting and Writing, News Reporting and Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
humanities,26,College,Low,4.2,Medium,Good,Male,Canada,Cultural Studies, Cultural Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
early childhood education,21,College,Low,4.7,Medium,Fair,Male,US,Technology and Digital Literacy, Technology and Digital Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
environmental science,29,College,Medium,4.1,Easy,Good,Female,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
social work,24,College,High,3.6,Easy,Fair,Male,India,Social Influence on Health Decisions, Social Influence on Health Decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
hospitality management,22,College,High,4.9,Medium,Good,Male,US,Hospitality Law and Ethics, Hospitality Law and Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
data science,27,High School,High,4.3,Easy,Fair,Male,Australia,Data Mining, Data Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
data science,18,College,Medium,4.7,Easy,Good,Female,US,Exploratory Data Analysis, Exploratory Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
early childhood education,29,High School,High,3.9,Easy,Good,Male,Canada,Technology and Digital Literacy, Technology and Digital Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
international business,25,College,High,4.8,Easy,Fair,Female,Canada,International Trade and Globalization, International Trade and Globalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
legal studies,22,High School,Medium,4.2,Easy,Fair,Male,Australia,Comparative Law, Comparative Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
public administration,25,College,High,3.6,Easy,Fair,Male,Canada,Ethics in Public Administration, Ethics in Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
humanities,19,College,Medium,3.7,Medium,Fair,Female,UK,Musicology, Musicology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
health and wellness,25,College,High,3.8,Medium,Good,Female,Australia,Holistic Health, Holistic Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
management,18,College,Low,4.5,Easy,Fair,Male,India,Strategic Management, Strategic Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
writing,23,College,Low,5.0,Easy,Good,Male,Australia,Business Writing, Business Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
communications technology,28,High School,Low,3.6,Medium,Fair,Female,UK,Mobile Communication, Mobile Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
communications technology,24,High School,Low,3.9,Easy,Good,Female,Canada,Multimedia Communication, Multimedia Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
legal studies,29,College,Medium,4.4,Easy,Fair,Male,US,Legal Ethics, Legal Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
anthropology,29,College,Medium,4.8,Medium,Good,Male,India,Ethnohistory, Ethnohistory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
journalism,21,High School,High,4.0,Easy,Good,Female,UK,International Journalism, International Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
logistics and supply chain management,26,High School,High,4.2,Easy,Good,Female,Canada,Performance Measurement and Metrics in Logistics, Performance Measurement and Metrics in Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
early childhood education,26,High School,Medium,3.5,Medium,Good,Female,Australia,Health and Nutrition Education, Health and Nutrition Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
public health,26,College,Medium,4.5,Medium,Fair,Male,India,Maternal and Child Health, Maternal and Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
anthropology,29,College,High,5.0,Easy,Fair,Male,Canada,Migration and Diaspora Studies, Migration and Diaspora Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
journalism,19,College,Medium,4.1,Easy,Good,Female,Australia,Political Journalism, Political Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
food science,18,College,Medium,3.6,Medium,Fair,Male,UK,Food Additives and Ingredients, Food Additives and Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
social work,22,High School,Low,3.6,Medium,Fair,Female,India,Social Capital and Health, Social Capital and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
education,22,High School,Low,3.9,Easy,Good,Female,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
anthropology,27,High School,Medium,3.7,Medium,Fair,Male,UK,Ethnohistory, Ethnohistory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
early childhood education,19,High School,Medium,4.7,Easy,Good,Male,UK,Multicultural Education and Diversity Awareness, Multicultural Education and Diversity Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
writing,29,College,Medium,4.4,Medium,Good,Male,Canada,Writing for Publication, Writing for Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
journalism,29,College,Low,4.3,Medium,Fair,Female,Australia,Media Law and Regulations, Media Law and Regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
management,24,High School,Low,3.9,Medium,Fair,Male,India,Conflict Resolution and Negotiation, Conflict Resolution and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
public health,29,High School,Low,4.2,Medium,Fair,Male,Canada,Health Informatics, Health Informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
international relations,19,High School,Medium,4.7,Easy,Good,Female,Australia,International Political Economy, International Political Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
public health,26,College,Medium,4.6,Easy,Fair,Male,UK,Health Equity and Social Determinants of Health, Health Equity and Social Determinants of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
international relations,25,College,Medium,5.0,Easy,Fair,Female,Canada,International Security Studies, International Security Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
humanities,29,High School,High,4.2,Easy,Good,Male,Australia,Comparative Literature, Comparative Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
gender studies,18,High School,Low,4.9,Easy,Fair,Male,India,Gender and Technology, Gender and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
media and communication studies,23,High School,High,4.8,Medium,Fair,Female,Australia,Media and Politics, Media and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
international relations,26,High School,Low,3.8,Easy,Fair,Male,US,Gender and International Relations, Gender and International Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
humanities,24,College,High,4.7,Easy,Good,Female,UK,Ethical Studies, Ethical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
performing arts,29,High School,Medium,3.6,Easy,Fair,Male,India,Media Studies, Media Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
journalism,24,High School,Low,4.7,Easy,Good,Male,US,Investigative Journalism, Investigative Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
business analytics,28,College,Medium,4.0,Easy,Good,Female,India,Data Mining and Analysis, Data Mining and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
international relations,27,College,High,5.0,Easy,Fair,Male,US,Gender and International Relations, Gender and International Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
communications technology,18,College,Medium,4.4,Medium,Fair,Female,India,Network Protocols, Network Protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
information systems,25,High School,High,3.9,Easy,Good,Female,UK,Web Development and E-commerce, Web Development and E-commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
linguistics,22,College,Medium,4.3,Medium,Fair,Female,Australia,Applied Linguistics, Applied Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
finance,29,College,Low,3.7,Easy,Good,Female,Canada,Islamic Finance, Islamic Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
humanities,18,High School,High,5.0,Easy,Good,Male,US,Anthropology, Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
logistics and supply chain management,26,High School,High,4.2,Easy,Good,Male,Australia,Supply Chain Planning and Management, Supply Chain Planning and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
international business,21,High School,High,3.8,Easy,Good,Female,Canada,International Finance and Investment, International Finance and Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
food science,25,High School,Medium,4.0,Easy,Fair,Female,US,Food Engineering, Food Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
logistics and supply chain management,26,College,Low,4.7,Medium,Good,Male,US,Last-Mile Delivery and Logistics, Last-Mile Delivery and Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
finance,19,High School,Low,4.5,Medium,Good,Female,Canada,Financial Planning and Wealth Management, Financial Planning and Wealth Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
management,25,College,Medium,4.9,Medium,Good,Female,India,Conflict Resolution and Negotiation, Conflict Resolution and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
management,27,College,Low,5.0,Medium,Good,Female,US,Conflict Resolution and Negotiation, Conflict Resolution and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
management,24,High School,High,4.9,Medium,Good,Female,US,Operations Management, Operations Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
legal studies,29,High School,High,4.8,Easy,Fair,Male,India,Business Law, Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
environmental science,28,College,High,4.3,Easy,Good,Male,UK,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
education,26,College,Low,4.1,Easy,Good,Female,Canada,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
hospitality management,24,College,High,4.7,Medium,Fair,Female,India,Hospitality Law and Ethics, Hospitality Law and Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
food science,19,College,High,4.2,Medium,Good,Male,Canada,Food Engineering, Food Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
journalism,23,High School,Medium,4.9,Easy,Good,Female,India,Ethics in Journalism, Ethics in Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
international relations,27,High School,High,4.9,Easy,Good,Female,US,Conflict Resolution and Peacebuilding, Conflict Resolution and Peacebuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
visual arts,26,College,Low,4.3,Easy,Good,Male,UK,Digital Art, Digital Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
communications technology,22,High School,Low,3.8,Medium,Good,Male,US,Network Protocols, Network Protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
anthropology,27,College,Medium,4.8,Medium,Good,Male,Canada,Linguistic Anthropology, Linguistic Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
sports science,29,High School,Medium,4.1,Easy,Fair,Male,India,Sports Training and Periodization, Sports Training and Periodization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
hospitality management,23,High School,High,4.1,Medium,Good,Male,UK,Strategic Management in Hospitality, Strategic Management in Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
finance,27,High School,Medium,4.8,Medium,Good,Female,India,Taxation and Tax Planning, Taxation and Tax Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
food science,19,College,High,3.7,Easy,Fair,Male,Australia,Nutritional Sciences, Nutritional Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
humanities,26,High School,High,4.8,Easy,Fair,Female,Canada,Visual Arts, Visual Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
anthropology,19,College,Low,4.4,Medium,Good,Male,India,Gender and Sexuality Studies, Gender and Sexuality Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
agriculture,23,College,Low,3.6,Medium,Good,Female,India,Crop Production and Management, Crop Production and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
agriculture,23,College,Low,4.6,Medium,Good,Male,Canada,Plant Science,Plant Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
geology,18,High School,Low,3.7,Medium,Fair,Male,Canada,Environmental Geology, Environmental Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
legal studies,29,High School,Medium,3.9,Easy,Fair,Male,Canada,Constitutional Law, Constitutional Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
international business,19,High School,Low,4.9,Easy,Good,Male,Canada,International Risk Management, International Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
international business,24,College,Medium,4.3,Easy,Good,Female,UK,Sustainability in International Business, Sustainability in International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
finance,27,High School,Medium,3.5,Medium,Good,Male,India,International Finance, International Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
early childhood education,26,High School,High,5.0,Medium,Fair,Male,US,Health and Nutrition Education, Health and Nutrition Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
sports science,29,College,Medium,4.3,Medium,Good,Male,US,Sports Technology and Wearables, Sports Technology and Wearables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
media and communication studies,29,High School,High,4.1,Medium,Fair,Male,Australia,Media Ethics and Law, Media Ethics and Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
legal studies,19,College,Low,4.5,Easy,Fair,Male,India,International Law, International Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
legal studies,22,High School,High,4.5,Easy,Good,Male,Canada,Comparative Law, Comparative Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
